x,y
40,-909
43,-907
46,-905
49,-903
52,-901
56,-897
60,-893
64,-890
66,-493
68,-483
68,-886
69,-511
69,-524
69,-538
69,-552
69,-566
70,-581
72,-478
72,-597
72,-611
72,-882
72,-908
75,-473
76,-878
76,-904
79,-504
79,-875
80,-586
80,-900
81,-519
81,-533
81,-547
81,-560
81,-573
82,-469
82,-498
82,-640
82,-871
83,-459
83,-617
83,-898
84,-604
85,-426
85,-438
85,-450
85,-486
85,-867
86,-377
86,-403
86,-415
86,-896
88,-367
88,-865
89,-343
89,-356
89,-396
89,-894
90,-485
91,-333
91,-862
92,-323
92,-395
92,-598
93,-313
93,-532
93,-558
93,-622
93,-891
94,-291
94,-303
94,-546
94,-573
94,-587
95,-269
95,-356
95,-394
95,-520
95,-679
95,-699
95,-719
95,-739
95,-759
95,-779
95,-799
95,-819
95,-839
95,-859
95,-890
96,-282
96,-420
96,-434
96,-473
97,-260
97,-449
97,-510
97,-616
98,-345
98,-372
98,-463
98,-887
99,-240
99,-252
99,-384
99,-615
100,-229
100,-490
101,-304
101,-326
101,-337
101,-674
102,-207
102,-220
102,-281
102,-882
103,-396
104,-196
104,-280
104,-299
104,-320
104,-359
104,-509
104,-861
105,-184
105,-540
105,-569
105,-611
105,-874
106,-271
106,-358
106,-585
106,-599
106,-666
107,-177
107,-241
107,-253
107,-377
107,-422
107,-438
107,-508
107,-557
108,-220
108,-454
109,-266
109,-389
109,-421
109,-535
109,-908
110,-168
110,-470
110,-485
110,-897
111,-209
111,-236
111,-299
111,-320
111,-353
111,-420
111,-857
111,-873
113,-198
113,-235
113,-402
113,-500
113,-657
113,-872
113,-890
114,-160
114,-343
114,-414
114,-644
115,-266
115,-295
115,-316
115,-588
115,-852
115,-871
116,-191
116,-234
116,-379
116,-534
117,-150
117,-180
117,-221
117,-257
117,-286
117,-393
117,-454
117,-577
117,-618
117,-634
117,-851
118,-444
118,-562
119,-377
119,-471
119,-533
119,-607
120,-140
120,-735
120,-755
120,-775
120,-795
120,-815
120,-835
120,-905
121,-173
121,-210
121,-284
121,-342
122,-234
122,-469
122,-491
122,-518
122,-675
122,-893
123,-283
123,-372
123,-561
123,-722
123,-872
124,-132
124,-164
124,-192
124,-256
124,-317
124,-341
124,-892
125,-206
125,-223
125,-424
125,-443
125,-507
125,-663
125,-853
126,-272
126,-367
126,-560
126,-636
126,-693
126,-871
127,-124
127,-190
127,-255
127,-340
127,-413
127,-891
128,-161
128,-468
128,-603
128,-656
128,-717
128,-870
129,-313
129,-536
129,-559
130,-154
130,-184
130,-252
130,-404
130,-591
130,-632
130,-869
131,-123
131,-223
131,-239
131,-312
131,-443
132,-558
132,-621
133,-179
133,-238
133,-311
133,-467
134,-122
134,-149
134,-396
134,-496
134,-620
134,-710
135,-178
135,-218
135,-511
135,-528
135,-557
135,-687
135,-850
135,-863
136,-121
136,-148
136,-208
136,-342
136,-466
137,-290
137,-308
137,-384
137,-910
138,-207
138,-371
138,-432
138,-556
138,-657
138,-681
138,-843
139,-173
139,-704
140,-237
140,-495
140,-901
141,-120
141,-201
141,-282
141,-370
141,-596
141,-611
142,-148
142,-168
142,-424
142,-448
142,-676
142,-838
142,-900
143,-466
143,-548
